Wavelength_nm,保护优先,展示优先,综合折中,D55
413,0.00101877424461,0.000859578334751,0.000850430006135,0.354858689825
414,0.00138361421122,0.00116740721972,0.00115498413753,0.380112511799
415,0.001862513116,0.00157147157,0.0015547508839,0.401483005862
416,0.0024850265155,0.00209670827109,0.00207440266766,0.417339068779
417,0.00328632255572,0.00277278961716,0.00274329745507,0.427402586474
418,0.00430761574803,0.00363448923254,0.0035958410466,0.434251444131
419,0.00559643539178,0.00472190844757,0.00467171142,0.438708520729
420,0.0072066594188,0.00608050470995,0.00601588737003,0.441750971489
421,0.00919823926998,0.00776085925177,0.0076784193865,0.44423020325
422,0.0116365406526,0.00981812058586,0.00971388008627,0.446581645826
423,0.0145912300711,0.0123110646564,0.0121804357373,0.449480588853
424,0.0181346491131,0.0153007226651,0.0151384905179,0.454240182356
425,0.0223396385048,0.018848544489,0.0186488718869,0.461835497326
426,0.027276802267,0.0230140894969,0.0227705490952,0.471090508525
427,0.0330112385496,0.0278522671474,0.0275579071318,0.482002219876
428,0.0395988066315,0.0334101859543,0.0330576342255,0.494530423162
429,0.0470820469679,0.0397237093961,0.039305320583,0.508640424682
430,0.0554859198868,0.0468138584545,0.0463219067043,0.524456626753
431,0.0648135746291,0.0546832393682,0.0541101580644,0.542020887605
432,0.0750423993364,0.0633127080354,0.0626513753898,0.561628125396
433,0.0861206295717,0.0726585052832,0.0719025722153,0.583635481156
434,0.0979648034725,0.0826501061311,0.0817943600937,0.607077045806
435,0.110458341939,0.093189018034,0.0922297736255,0.631648869537
436,0.123451499862,0.104148735809,0.103084240286,0.657164761379
437,0.136762878568,0.115376013906,0.114206853269,0.683529802149
438,0.150182611773,0.126693551038,0.125423040363,0.709885420474
439,0.163477240987,0.137904100954,0.136538641278,0.735743082167
440,0.176396187327,0.148795931259,0.147345314681,0.76055537362
441,0.18867961272,0.159149456076,0.157627100912,0.783675098842
442,0.200067353486,0.168744775566,0.167167874464,0.804966175162
443,0.210308512815,0.177369773952,0.175759339737,0.8240530943
444,0.219171224755,0.184828365312,0.18320916199,0.840311977559
445,0.226452058966,0.190948439762,0.189348789433,0.852392766724
446,0.231984528139,0.195589056329,0.1940405166,0.861830147809
447,0.235646191501,0.198646455283,0.197183365959,0.868845483119
448,0.23736391759,0.200058521343,0.198717423565,0.873725353904
449,0.237116973332,0.199807416606,0.198626352045,0.877108141608
450,0.234937737344,0.197920212274,0.196937914235,0.878489463232
451,0.230909983272,0.194467472805,0.193722465138,0.877871142475
452,0.225164832404,0.189559875505,0.189089498756,0.875218529058
453,0.217874621605,0.18334307234,0.183182459566,0.870045390128
454,0.209245061076,0.175991109296,0.176172136138,0.863114118651
455,0.199506156599,0.167698803353,0.168249038203,0.854648508531
456,0.188902435319,0.158673532009,0.159615212086,0.844872440515
457,0.177683038602,0.149126911612,0.1504759693,0.834006582163
458,0.166092229298,0.13926682806,0.14103198865,0.822279156364
459,0.154360806882,0.129290239098,0.131472205891,0.80991552019
460,0.142698838191,0.119377096366,0.121967831762,0.797140770186
461,0.131290002321,0.109685644583,0.112667746231,0.784358725387
462,0.120287725471,0.100349252909,0.103695412318,0.771552711975
463,0.109813155528,0.0914748282153,0.0951473458311,0.7588699285
464,0.0999549069063,0.0831427599678,0.0870930760322,0.746464086723
465,0.0907704021488,0.0754082585532,0.0795764441999,0.734582167577
466,0.0822885546898,0.0683038786943,0.0726180176566,0.723256606848
467,0.0745134811289,0.061842970233,0.0662183498835,0.712592484329
468,0.0674289030323,0.0560237713038,0.060361794127,0.702703868039
469,0.0610028968066,0.0508338528869,0.0550205777622,0.694054107756
470,0.0551926726558,0.0462546363976,0.05015886509,0.686326661461
471,0.0499491054763,0.0422657335534,0.0457365732735,0.67942839025
472,0.0452207961737,0.038848895781,0.041712754953,0.67331930301
473,0.0409575053148,0.0359914042239,0.0380484165278,0.667656196985
474,0.0371128664431,0.0336887767084,0.0347086981129,0.662753573386
475,0.0336463486414,0.0319467112914,0.0316643953071,0.658776824331
476,0.0305244929019,0.0307822248008,0.028892850548,0.655826253257
477,0.027721491685,0.0302239778181,0.026378280489,0.654420224855
478,0.0252192141412,0.030311804765,0.0241116341426,0.654198688865
479,0.0230068004883,0.0310954900575,0.022090094212,0.654941325094
480,0.0210799586705,0.0326328503077,0.0203163417021,0.656545268244
481,0.019440096156,0.0349872002508,0.0187977028922,0.658605874273
482,0.0180934114774,0.0382242983152,0.0175452897679,0.661331131695
483,0.0170500560031,0.0424088878882,0.0165732319248,0.664878095718
484,0.0163234584011,0.0476009728586,0.0158980814985,0.669297960175
485,0.0159298839713,0.0538519903088,0.0155384542734,0.674802491242
486,0.0158882796254,0.0612010674445,0.0155149507451,0.681290777581
487,0.0162204334017,0.069671571011,0.0158503810598,0.688658130193
488,0.0169514551604,0.0792681716733,0.0165702974678,0.696869204057
489,0.0181105622771,0.0899746488055,0.0177038169307,0.706008497221
490,0.019732130347,0.101752648619,0.01928469441,0.715938711213
491,0.0218569438138,0.114541577107,0.0213525837953,0.726493151273
492,0.0245335550374,0.128259756866,0.0239543984273,0.737568083672
493,0.0278196331725,0.142806903468,0.0271456572542,0.748941190835
494,0.0317831576075,0.158067885207,0.0309916770967,0.760597492379
495,0.0365032866787,0.173917624818,0.0355684482881,0.772579801806
496,0.0420707137586,0.190226890894,0.0409630128771,0.784856595177
497,0.048587313026,0.206868620025,0.0472731549532,0.797534689141
498,0.0561648799676,0.223724319243,0.0546062150791,0.810494588
499,0.0649227904824,0.240690033702,0.0630768587606,0.823512671537
500,0.0749844402595,0.257681337028,0.0728036651666,0.836467533514
501,0.0864723845539,0.274636819637,0.0839044585772,0.849178106686
502,0.0995021775334,0.291519618213,0.0964903812452,0.861552685054
503,0.114175007771,0.308316647499,0.110658800351,0.873563739448
504,0.130569337552,0.325035358634,0.126485249019,0.885131548175
505,0.148731871357,0.341698046238,0.144014715078,0.896122025949
506,0.168668293885,0.358333944341,0.163252702452,0.906473514378
507,0.190334319467,0.374969570559,0.184156588236,0.916204250452
508,0.213627671211,0.391617977983,0.206627872549,0.92527584965
509,0.238381648431,0.408267734413,0.230505957365,0.933506723674
510,0.264360935679,0.424872550286,0.255564085588,0.940879764489
511,0.291260249218,0.44134250551,0.281508016361,0.947650203095
512,0.318706304852,0.457537773122,0.307977904609,0.953898369083
513,0.346263426907,0.473265603282,0.334553694409,0.959801421773
514,0.37344290958,0.488281121429,0.360764134385,0.965447593451
515,0.399716001604,0.50229222415,0.386099291225,0.970687080283
516,0.424530130209,0.514968546637,0.410026191112,0.975511284831
517,0.447327730962,0.525954152489,0.432006977821,0.97994295991
518,0.46756682757,0.53488328846,0.451518761173,0.983983842375
519,0.484742330798,0.541398281405,0.468074160322,0.987539968315
520,0.498406916105,0.54516845684,0.481241440299,0.990570782138
521,0.50819030827,0.545908847056,0.490663109643,0.992901469285
522,0.513815854624,0.543397442811,0.496071898203,0.994395252339
523,0.515113405662,0.537489828214,0.497303166375,0.995447873954
524,0.512027734153,0.528130216661,0.494303001871,0.996174400843
525,0.504621995927,0.515358160735,0.487131522756,0.996774658297
526,0.493076045981,0.499310518375,0.475961205291,0.997461150655
527,0.477679747591,0.480218594113,0.461070368238,0.998022763062
528,0.458821723399,0.458400708548,0.442832246222,0.998462100802
529,0.436974270924,0.434250753435,0.421700349555,0.998818156294
530,0.412675379301,0.408223539075,0.398191015711,0.999154064256
531,0.386508923215,0.380817916691,0.372864193316,0.999306386533
532,0.35908416535,0.35255874973,0.346303554391,0.999222062171
533,0.331015668792,0.323978811633,0.319097003442,0.998823453705
534,0.302904612109,0.295601608387,0.291818548937,0.997998273391
535,0.275322325094,0.26792597423,0.265012335867,0.996830932434
536,0.2487966404,0.241413085676,0.239179424886,0.995313007081
537,0.22380140681,0.216476303724,0.214767664077,0.99340541807
538,0.200749255866,0.19347400903,0.192164755207,0.990990753934
539,0.179987476605,0.172705361652,0.171694387604,0.988281432166
540,0.161796651527,0.154408714494,0.153615117387,0.985338676945
541,0.146391555264,0.138762252645,0.138121521161,0.982255323225
542,0.13392372457,0.125886328898,0.125347060216,0.97923718845
543,0.124485077922,0.115846922982,0.115368056929,0.976072115653
544,0.118111992954,0.108659666917,0.108208207639,0.97273613622
545,0.114789333172,0.10429394524,0.103843129003,0.969163075934
546,0.114454040682,0.102676686199,0.10220454743,0.96508537212
547,0.11699806476,0.103695595365,0.1031838804,0.960913617551
548,0.122270561293,0.10720173166,0.106635109762,0.956757147315
549,0.130079459096,0.113011472568,0.112376995633,0.952749699329
550,0.140192630711,0.120908046204,0.120194811366,0.949198176058
551,0.15233901436,0.130642910799,0.129841883436,0.945881128355
552,0.166210100244,0.14193732794,0.141041285875,0.942808716829
553,0.181462212144,0.154484498644,0.153488061694,0.940012118045
554,0.19771998248,0.16795260955,0.166852321736,0.937760110478
