solution_id,ω1,ω2,ω3,ω4,ω5,ω6,ω7,ω8,ω9,ω10,I_lx,D_relic,F,Rf,Rg,CCT_K,Duv
24,0.0950318024585,0.0113507966224,0.0112986929599,0.207384099964,0.132680941244,0.00613440956688,0.0098799166975,0.406181904158,0.0486835334705,0.0713739028585,1.04494569098,0.131539418145,5.73514197114,76.4429156013,120.302486539,3294.19472109,0.000402801457768
25,0.0781916710663,0.00276011911649,0.0149484777808,0.185615607792,0.109975117784,0.00725396353813,0.0455219164655,0.430572753347,0.033700075608,0.0914602975017,1.57755982185,0.135621736501,5.80789753444,73.0863543475,122.515680459,2686.75228463,-0.00457700362875
26,0.0926415733761,0.0113414530926,0.00612379603895,0.214475637006,0.113512339816,0.00452391529427,0.00822727253379,0.398761416976,0.0761399754521,0.0742526204138,298.30879956,1.14834928778,10.8554051798,72.8762321931,122.350511505,3286.20689809,-0.00039500672959
27,0.0953143396593,0.00274332055562,0.0133355388705,0.190292503137,0.122969103891,0.00730746567214,0.00654798743174,0.43554569299,0.0525297953679,0.0734142524252,3.74144663386,0.183032186268,5.85024600628,73.0088990905,123.930899347,2960.31168686,-0.00485463659833
28,0.0795461931838,0.0269510448798,0.0243789554149,0.195820406272,0.110933573292,0.00636622387249,0.0102532706452,0.41918111769,0.0578452767476,0.0687239380023,2.77159259324,0.173871966045,5.82776295297,72.7125768715,120.253228567,3139.89243764,-0.00331448954174
29,0.0836796085951,0.0012597695044,0.00638435611812,0.22052994634,0.110422318437,0.00474736012471,0.0464066898806,0.417819914883,0.0311846370595,0.0775653990578,117.633679992,0.719289625364,7.76833648324,73.5044301025,120.713078371,2972.41552085,0.000391544305177
30,0.0810170488063,0.00962251918297,0.0840862215583,0.167711890306,0.10398989277,0.00429338518737,0.0392901312276,0.394533976183,0.0469978777266,0.0684570570523,128.831423707,0.812813706246,8.00037995102,70.2337834718,116.073355672,3159.03359299,-0.00150896765269
31,0.0857293284592,0.00365148301243,0.0287369664957,0.173407118099,0.131776588192,0.0064812848193,0.0107318067861,0.450732190682,0.0311863164422,0.0775669170121,211.817596145,0.862968177816,9.35445784166,74.5734856519,121.769321093,2851.39133017,-0.00418333372889
32,0.0809158312785,0.00106576918975,0.00327025458942,0.19860723325,0.117766893599,0.00437637915725,0.041446665897,0.406475416079,0.0547412994256,0.0913342575349,285.982884515,1.06862317974,10.6140904114,74.6145778599,121.609732767,2857.6195048,-0.00146158978861
33,0.0900461637347,0.00337587013975,0.0851520159372,0.180524098195,0.135729079957,0.00686698009991,0.00681731270757,0.419185371621,0.0307746350992,0.0415284725081,56.3115317909,0.556911343574,6.68889703276,74.6242535229,114.7377674,3447.40368056,0.00476573072036
34,0.0775798073876,0.00972276103931,0.0114504025859,0.207934586712,0.114966822272,0.00265976024833,0.0451690333717,0.429655073538,0.0285364510155,0.0723253018299,229.221214129,0.936487930671,9.65275037322,74.1538186266,120.201549896,2895.45793279,-0.00125634220612
35,0.0861719395605,0.00334167701501,0.0032052373351,0.197719843997,0.125441348502,0.00846114448026,0.00840971188067,0.443315917314,0.0330170776933,0.0909161022218,43.199044509,0.443782522214,6.50173956889,73.9505412441,122.838337796,2910.70659073,-0.00244268119005
36,0.0849174023744,0.00271150230159,0.0146986806035,0.182015740947,0.124199464473,0.00694949964745,0.0139582796878,0.429872543266,0.0517720674968,0.0889048192025,5.92991378599,0.214281334744,5.86664161785,74.0163542064,122.703701665,2862.53631569,-0.00372063428539
37,0.0798846264922,0.00267895714675,0.0129333873473,0.186133666651,0.118352295664,0.00486592925723,0.0465055780937,0.408287375982,0.0512893399806,0.0890688433861,31.9166510059,0.420539062481,6.28694360218,75.0337875192,121.311640968,2790.09152464,-0.00305507028967
38,0.0864017874796,0.00129971022543,0.00658677075491,0.224337432322,0.121622684098,0.00487930374185,0.0106811458446,0.430974171846,0.0331924003437,0.0800245933426,117.633679992,0.705037056233,7.7668027439,73.5500558174,120.460377643,3180.4401231,0.00330064524082
39,0.0824813225451,0.028684496978,0.0152627383191,0.203045871137,0.115019907383,0.00636960586728,0.0105848680166,0.436304532253,0.0309869143253,0.0712597431765,221.120351969,0.929861510046,9.52863637108,73.468449235,120.851341531,3111.6546314,-0.00398486331513
